Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus melancholicus,melancholicus,138406,MM,Royal Ontario Museum,1952,10,5,null,null,null,null,1000ft,17.11,9.9,7.235,17.345,32.05,109.71,90.35,Adult,Male
Tyrannus melancholicus,melancholicus,138428,MM,Royal Ontario Museum,1945,10,5,Ecuador,null,null,null,null,17.255,9.25,7.4,18.055,20.27,124.89,105.23,Adult,Male
Tyrannus melancholicus,melancholicus,138429,MM,Royal Ontario Museum,1946,6,9,Ecuador,Pichincha Province,null,Santo Domingo de los Colorados,null,16.585,9.6,7.62,17.835,null,null,88.05,Adult,Female
Tyrannus forficatus,null,138434,MM,Royal Ontario Museum,1956,3,18,United States of America,Texas,Kenedy County,"Norias, Norias Headquarters King Ranch, Norias Division",null,13.33,7.435,6.355,18.3,52.58,129.385,247.907,Adult,Male
Tyrannus forficatus,null,138435,MM,Royal Ontario Museum,1956,3,13,United States of America,Texas,San Patricio County,"Welden Wildlife Refuge, Sintion",null,13.595,7.52,6.175,19.065,47.885,121.255,257.296,Adult,Male
Tyrannus vociferans,vociferans,138618,MM,Royal Ontario Museum,1980,6,17,United States of America,Texas,Brewster County,7 mi N Alpine,null,null,null,null,20.13,34.91,129.52,null,SecondYear,Male
Tyrannus vociferans,vociferans,138634,MM,Royal Ontario Museum,1980,7,7,United States of America,Texas,Jeff Davis County,"10 mi N, 2 mi W Alpine",null,null,null,null,19.33,null,null,null,Adult,Female
Tyrannus verticalis,null,141336,MM,Royal Ontario Museum,1981,8,22,United States of America,Arizona,Cochise County,"2 km E, 2 km N Portal, Chiricahua Mountains",null,null,null,null,19.5,35.58,121.09,87.37,HatchYear,Female
Tyrannus verticalis,null,141337,MM,Royal Ontario Museum,1981,8,23,United States of America,Arizona,Cochise County,"8 km ESE Portal, Chiricahua Mountains",null,null,null,null,18.19,29.34,109.59,83.85,HatchYear,Female
Tyrannus vociferans,unknown,141338,MM,Royal Ontario Museum,1981,8,23,United States of America,Arizona,Cochise County,"8 km ESE Portal, Chiricahua Mountains",null,null,null,null,21.02,null,124.5,null,SecondYear,Male
Tyrannus vociferans,unknown,141339,MM,Royal Ontario Museum,1981,8,23,United States of America,Arizona,Cochise County,"8 km ESE Portal, Chiricahua Mountains",null,null,null,null,17.87,30.13,120.37,null,Adult,Female
Tyrannus verticalis,null,141340,MM,Royal Ontario Museum,1981,8,23,United States of America,Arizona,Cochise County,"8 km ESE Portal, Chiricahua Mountains",null,null,null,null,19.99,null,104.09,null,Adult,Female
Tyrannus verticalis,null,141341,MM,Royal Ontario Museum,1981,8,23,United States of America,Arizona,Cochise County,"8 km ESE Portal, Chiricahua Mountains",null,null,null,null,20.16,46.04,125.1,null,Adult,Male
Tyrannus vociferans,vociferans,141489,MM,Royal Ontario Museum,1981,5,13,United States of America,Texas,Jeff Davis County,"10 mi N, 0.5 mi W Alpine",null,null,null,null,20.75,null,138.93,90.98,Adult,Male
Tyrannus vociferans,vociferans,141501,MM,Royal Ontario Museum,1981,5,25,United States of America,Texas,Brewster County,22 mi S Alpine,null,null,null,null,19.14,35.37,130.05,90.36,Adult,Male
Tyrannus tyrannus,null,147094,MM,Royal Ontario Museum,null,null,null,Canada,British Columbia,Metro Vancouver Regiol District,"Cariboo, 106 mile",null,13.465,6.985,5.72,21.47,36.635,117.51,80.31,HatchYear,Unknown
Tyrannus melancholicus,melancholicus,147590,MM,Royal Ontario Museum,1937,7,27,Ecuador,Los Rios Province,null,Babahoyo,null,16.955,9.95,7.885,18.015,32.105,112.685,92.49,Adult,Female
Tyrannus melancholicus,melancholicus,147696,MM,Royal Ontario Museum,1905,2,24,Guyana,null,null,Guyana,null,16.9,10.31,7.38,18.71,26.48,105.965,85.52,Adult,Unknown
